Date,City,Industrial_Waste,Vehicle_Waste,AQI,Air_Quality
2018-09-21,Amaravati,47.8,164.42000000000002,80.0,Satisfactory
2018-09-22,Amaravati,62.16,120.84,81.0,Satisfactory
2018-09-25,Amaravati,78.23,157.11999999999998,59.0,Satisfactory
2018-09-26,Amaravati,41.18,146.32,62.0,Satisfactory
2018-10-05,Amaravati,40.24,138.1,56.0,Satisfactory
2018-10-06,Amaravati,61.25,232.71,80.0,Satisfactory
2018-10-09,Amaravati,63.28,391.0199999999999,142.0,Moderate
2018-10-10,Amaravati,89.25999999999999,298.06,154.0,Moderate
2018-10-12,Amaravati,69.11,234.47,130.0,Moderate
2018-10-14,Amaravati,36.49,211.32,113.0,Moderate
2018-10-15,Amaravati,30.72,192.4,91.0,Satisfactory
2018-10-16,Amaravati,33.28,184.43,77.0,Satisfactory
2018-10-26,Amaravati,54.93,276.17,122.0,Moderate
2018-10-27,Amaravati,63.010000000000005,324.8400000000001,133.0,Moderate
2018-10-28,Amaravati,53.23,248.53,133.0,Moderate
2018-10-29,Amaravati,66.55999999999999,238.65,118.0,Moderate
2018-10-30,Amaravati,45.96,258.15000000000003,118.0,Moderate
2018-11-05,Amaravati,30.020000000000003,191.94,61.0,Satisfactory
2018-11-06,Amaravati,31.88,188.82,86.0,Satisfactory
2018-11-09,Amaravati,39.08,291.14,105.0,Moderate
2018-11-10,Amaravati,46.55,301.56,106.0,Moderate
2018-11-11,Amaravati,55.91,329.37,120.0,Moderate
2018-11-12,Amaravati,64.57,402.73,156.0,Moderate
2018-11-13,Amaravati,67.17,413.55,182.0,Moderate
2018-11-14,Amaravati,72.19000000000001,401.23,144.0,Moderate
2018-11-18,Amaravati,23.140000000000004,159.07999999999998,56.0,Satisfactory
2018-11-26,Amaravati,55.6,438.59,189.0,Moderate
2018-11-27,Amaravati,61.24,486.78,190.0,Moderate
2018-11-28,Amaravati,57.60999999999999,382.78,215.0,Poor
2018-12-01,Amaravati,37.39,400.8500000000001,145.0,Moderate
2018-12-02,Amaravati,44.31999999999999,310.09000000000003,160.0,Moderate
2018-12-03,Amaravati,48.290000000000006,323.51,130.0,Moderate
2018-12-04,Amaravati,46.99,384.03,176.0,Moderate
2018-12-09,Amaravati,41.56000000000001,419.23,266.0,Poor
2018-12-10,Amaravati,38.31,406.29,276.0,Poor
2018-12-11,Amaravati,41.43,389.15,218.0,Poor
2018-12-14,Amaravati,49.82999999999999,397.18,180.0,Moderate
2018-12-15,Amaravati,63.88,384.8,217.0,Poor
2018-12-21,Amaravati,53.75,262.73,81.0,Satisfactory
2018-12-22,Amaravati,41.28,248.11,89.0,Satisfactory
2018-12-23,Amaravati,45.39,302.03000000000003,136.0,Moderate
2018-12-24,Amaravati,72.31999999999998,370.77,199.0,Moderate
2018-12-25,Amaravati,45.41,391.9700000000001,221.0,Poor
2018-12-28,Amaravati,48.32,353.17,119.0,Moderate
2018-12-29,Amaravati,53.010000000000005,362.71,153.0,Moderate
2018-12-30,Amaravati,64.54,391.86,202.0,Poor
2018-12-31,Amaravati,69.79,354.33000000000004,191.0,Moderate
2019-01-01,Amaravati,56.11,379.95,183.0,Moderate
2019-01-02,Amaravati,79.66,527.37,210.0,Poor
2019-01-03,Amaravati,63.97,658.84,304.0,Very Poor
2019-01-04,Amaravati,42.0,504.72,312.0,Very Poor
2019-01-05,Amaravati,44.93000000000001,490.44,304.0,Very Poor
2019-01-06,Amaravati,38.26,488.74,306.0,Very Poor
2019-01-07,Amaravati,41.61,541.63,302.0,Very Poor
2019-01-08,Amaravati,61.34,603.0500000000001,298.0,Poor
2019-01-09,Amaravati,94.05,544.23,274.0,Poor
2019-01-10,Amaravati,29.97,522.68,270.0,Poor
2019-01-11,Amaravati,35.64,498.4800000000001,302.0,Very Poor
2019-01-12,Amaravati,34.99999999999999,392.69,257.0,Poor
2019-01-13,Amaravati,38.190000000000005,353.77000000000004,212.0,Poor
2019-01-14,Amaravati,40.07,402.51,256.0,Poor
2019-01-15,Amaravati,48.55,424.25,301.0,Very Poor
2019-01-16,Amaravati,31.53,370.42,274.0,Poor
2019-01-17,Amaravati,38.8,405.85,262.0,Poor
2019-01-18,Amaravati,48.67,397.71,287.0,Poor
2019-01-19,Amaravati,35.67000000000001,423.01,262.0,Poor
2019-01-20,Amaravati,38.8,414.86000000000007,242.0,Poor
2019-01-22,Amaravati,38.63,415.58,230.0,Poor
2019-01-24,Amaravati,32.03,270.61,113.0,Moderate
2019-01-28,Amaravati,36.1,236.38,91.0,Satisfactory
2019-01-29,Amaravati,53.56,256.75,96.0,
2019-01-30,Amaravati,63.63,276.67,111.0,Moderate
2019-01-31,Amaravati,63.83,355.05999999999995,143.0,Moderate
2019-02-01,Amaravati,61.41,304.88,141.0,Moderate
2019-02-02,Amaravati,51.14000000000001,398.24,130.0,Moderate
2019-02-04,Amaravati,79.69,318.71,150.0,Moderate
2019-02-05,Amaravati,56.47,395.99,159.0,Moderate
2019-02-06,Amaravati,56.120000000000005,375.32,178.0,Moderate
2019-02-07,Amaravati,44.81,266.69,159.0,Moderate
2019-02-09,Amaravati,51.06,258.79,115.0,Moderate
2019-02-13,Amaravati,52.650000000000006,277.7,121.0,Moderate
2019-02-14,Amaravati,48.01,300.7,157.0,Moderate
2019-02-15,Amaravati,48.070000000000014,217.98999999999995,116.0,Moderate
2019-02-21,Amaravati,35.739999999999995,210.9,96.0,Satisfactory
2019-02-22,Amaravati,45.32,241.48,96.0,Satisfactory
2019-02-23,Amaravati,41.59,327.31,126.0,Moderate
2019-02-24,Amaravati,49.82,249.26,131.0,Moderate
2019-02-25,Amaravati,44.5,165.38,95.0,Satisfactory
2019-02-28,Amaravati,41.32,106.88,60.0,Satisfactory
2019-03-06,Amaravati,59.85,208.91,120.0,Moderate
2019-03-07,Amaravati,63.67,166.46000000000004,105.0,Moderate
2019-03-08,Amaravati,48.78,99.46,92.0,Satisfactory
2019-03-09,Amaravati,49.34,103.92,86.0,Satisfactory
2019-03-10,Amaravati,40.02,87.74,56.0,Satisfactory
2019-03-11,Amaravati,41.28000000000001,90.56,78.0,Satisfactory
2019-03-12,Amaravati,48.97,160.94,74.0,Satisfactory
2019-03-13,Amaravati,46.59,183.04,97.0,Satisfactory
2019-03-14,Amaravati,47.2,242.7,107.0,Moderate
2019-03-15,Amaravati,49.3,219.4,130.0,Moderate
2019-03-16,Amaravati,36.46,182.52,110.0,Moderate
2019-03-17,Amaravati,47.72,180.47000000000003,98.0,Satisfactory
2019-03-18,Amaravati,37.68,134.37,101.0,Moderate
2019-03-19,Amaravati,44.71,101.24,85.0,Satisfactory
2019-03-20,Amaravati,51.39000000000001,98.38,85.0,Satisfactory
2019-03-21,Amaravati,49.09000000000001,84.02,60.0,Satisfactory
2019-03-22,Amaravati,44.760000000000005,,56.0,Satisfactory
2019-03-23,Amaravati,44.13,134.1,67.0,Satisfactory
2019-03-24,Amaravati,42.99,88.91,79.0,Satisfactory
2019-03-25,Amaravati,41.17,90.88,45.0,Good
2019-03-26,Amaravati,36.81,99.55,53.0,Satisfactory
2019-03-27,Amaravati,50.14,112.99,69.0,Satisfactory
2019-03-28,Amaravati,45.78,130.23,65.0,Satisfactory
2019-03-29,Amaravati,42.65,116.3,78.0,Satisfactory
2019-03-30,Amaravati,63.3,115.18,83.0,Satisfactory
2019-03-31,Amaravati,55.54,129.51000000000002,64.0,Satisfactory
2019-04-01,Amaravati,55.07,129.95999999999998,102.0,Moderate
2019-04-02,Amaravati,50.150000000000006,115.41,92.0,Satisfactory
2019-04-03,Amaravati,38.08,83.4,58.0,Satisfactory
2019-04-04,Amaravati,34.25,77.17,76.0,Satisfactory
2019-04-05,Amaravati,44.38,90.91,78.0,Satisfactory
2019-04-06,Amaravati,55.96,103.76,91.0,Satisfactory
2019-04-07,Amaravati,52.18,93.28,124.0,Moderate
2019-04-08,Amaravati,36.91,61.35000000000001,75.0,Satisfactory
2019-04-09,Amaravati,39.95,73.87,73.0,Satisfactory
2019-04-10,Amaravati,51.52,64.9,101.0,Moderate
2019-04-11,Amaravati,48.43,56.65,64.0,Satisfactory
2019-04-12,Amaravati,48.0,76.77,80.0,Satisfactory
2019-04-13,Amaravati,62.16,137.79,85.0,Satisfactory
2019-04-14,Amaravati,45.36,81.30000000000001,80.0,Satisfactory
2019-04-15,Amaravati,41.0,117.56,84.0,Satisfactory
2019-04-16,Amaravati,46.02,147.46,79.0,Satisfactory
2019-04-17,Amaravati,43.71000000000001,162.29,91.0,Satisfactory
2019-04-18,Amaravati,40.52,111.01,79.0,Satisfactory
2019-04-19,Amaravati,41.99,83.07,82.0,Satisfactory
2019-04-20,Amaravati,44.38,75.24999999999999,45.0,Good
2019-04-21,Amaravati,53.26,70.72999999999999,41.0,Good
2019-04-22,Amaravati,65.62,135.57,78.0,Satisfactory
2019-04-23,Amaravati,44.6,220.89000000000004,124.0,Moderate
2019-04-24,Amaravati,42.99,113.8,73.0,Satisfactory
2019-04-25,Amaravati,40.39,157.14,71.0,Satisfactory
2019-04-26,Amaravati,45.36,149.40999999999997,79.0,Satisfactory
2019-04-27,Amaravati,52.18,129.73999999999998,78.0,Satisfactory
2019-04-28,Amaravati,39.01,93.81,57.0,Satisfactory
2019-04-29,Amaravati,38.07,84.81,46.0,Good
2019-04-30,Amaravati,50.84,118.05,58.0,Satisfactory
2019-05-01,Amaravati,68.41999999999999,166.37999999999997,83.0,Satisfactory
2019-05-02,Amaravati,77.42999999999999,200.41,109.0,Moderate
2019-05-03,Amaravati,81.85000000000001,336.90000000000003,148.0,Moderate
2019-05-04,Amaravati,87.90999999999998,252.14,158.0,Moderate
2019-05-05,Amaravati,86.98,236.86,146.0,Moderate
2019-05-06,Amaravati,93.3,226.46,133.0,Moderate
2019-05-07,Amaravati,66.64,217.49,122.0,Moderate
2019-05-08,Amaravati,104.13,251.56,126.0,Moderate
2019-05-09,Amaravati,107.7,199.25,131.0,Moderate
2019-05-10,Amaravati,76.92000000000002,200.55,124.0,Moderate
2019-05-11,Amaravati,69.78000000000002,174.22,106.0,Moderate
2019-05-15,Amaravati,67.97999999999999,164.1,109.0,Moderate
2019-05-16,Amaravati,67.26,177.76,92.0,Satisfactory
2019-05-17,Amaravati,69.08999999999999,183.04,88.0,Satisfactory
2019-05-18,Amaravati,62.89,157.48,95.0,Satisfactory
2019-05-19,Amaravati,71.41,170.29,93.0,Satisfactory
2019-05-20,Amaravati,57.31,148.51000000000002,104.0,Moderate
2019-05-21,Amaravati,37.98,138.05,80.0,Satisfactory
2019-05-23,Amaravati,45.36000000000001,139.62,99.0,Satisfactory
2019-05-24,Amaravati,53.6,155.6,99.0,Satisfactory
2019-05-25,Amaravati,69.6,172.95999999999995,108.0,Moderate
2019-05-26,Amaravati,71.08,171.01000000000002,99.0,Satisfactory
2019-05-27,Amaravati,66.94,159.95,106.0,Moderate
2019-05-28,Amaravati,61.36,148.89,85.0,Satisfactory
2019-05-29,Amaravati,59.11,153.32,83.0,Satisfactory
2019-05-30,Amaravati,68.47,162.12,83.0,Satisfactory
2019-05-31,Amaravati,64.73,145.74,74.0,Satisfactory
2019-06-01,Amaravati,59.09999999999999,185.45,103.0,Moderate
2019-06-02,Amaravati,72.4,166.41,101.0,Moderate
2019-06-03,Amaravati,62.98000000000001,142.86,80.0,Satisfactory
2019-06-04,Amaravati,62.830000000000005,194.14,107.0,Moderate
2019-06-05,Amaravati,77.25000000000001,157.34,91.0,Satisfactory
2019-06-06,Amaravati,69.78999999999999,134.51999999999998,78.0,Satisfactory
2019-06-07,Amaravati,81.82000000000001,126.67,65.0,Satisfactory
2019-06-08,Amaravati,74.14999999999999,156.54000000000005,71.0,Satisfactory
2019-06-09,Amaravati,92.34,131.84,90.0,Satisfactory
2019-06-10,Amaravati,82.37,134.45,78.0,Satisfactory
2019-06-11,Amaravati,60.06999999999999,111.02,61.0,Satisfactory
2019-06-12,Amaravati,57.120000000000005,115.15,50.0,Good
2019-06-13,Amaravati,,105.3,42.0,Good
2019-06-14,Amaravati,50.84000000000001,86.43,38.0,Good
2019-06-15,Amaravati,54.52,122.99,54.0,Satisfactory
2019-06-16,Amaravati,58.76,122.72,75.0,Satisfactory
2019-06-17,Amaravati,49.24,145.51,72.0,Satisfactory
2019-06-18,Amaravati,48.46,165.5,59.0,Satisfactory
2019-06-19,Amaravati,60.62,145.38,77.0,Satisfactory
2019-06-20,Amaravati,55.96,105.59,59.0,Satisfactory
2019-06-21,Amaravati,51.72,112.41,42.0,Good
2019-06-22,Amaravati,60.040000000000006,105.74,46.0,Good
2019-06-23,Amaravati,57.00000000000001,92.09999999999998,48.0,Good
2019-06-24,Amaravati,60.71,88.57000000000002,53.0,Satisfactory
2019-06-25,Amaravati,55.29,111.08,78.0,Satisfactory
2019-06-26,Amaravati,45.11,129.14,74.0,Satisfactory
2019-06-27,Amaravati,46.59,92.87,70.0,Satisfactory
2019-06-28,Amaravati,52.48,77.71,42.0,Good
2019-06-30,Amaravati,57.75,75.28,46.0,Good
2019-07-01,Amaravati,47.10999999999999,93.7,39.0,Good
2019-07-02,Amaravati,38.1,97.09000000000002,66.0,Satisfactory
2019-07-03,Amaravati,40.75000000000001,110.77,68.0,Satisfactory
2019-07-04,Amaravati,42.27,99.87,68.0,Satisfactory
2019-07-05,Amaravati,41.43,89.25,70.0,Satisfactory
2019-07-06,Amaravati,46.36,88.76,72.0,Satisfactory
2019-07-07,Amaravati,54.17,86.96,43.0,Good
2019-07-08,Amaravati,45.02,90.11,35.0,Good
2019-07-09,Amaravati,45.64,89.56,37.0,Good
2019-07-10,Amaravati,53.59,94.5,75.0,Satisfactory
2019-07-11,Amaravati,52.28,88.71000000000001,40.0,Good
2019-07-12,Amaravati,50.99999999999999,85.8,70.0,Satisfactory
2019-07-13,Amaravati,53.31,64.98,48.0,Good
2019-07-14,Amaravati,48.27000000000001,43.220000000000006,41.0,Good
2019-07-15,Amaravati,50.27,56.84,48.0,Good
2019-07-16,Amaravati,46.220000000000006,92.76,39.0,Good
2019-07-17,Amaravati,67.96,123.23,55.0,Satisfactory
2019-07-18,Amaravati,51.4,92.06,53.0,Satisfactory
2019-07-19,Amaravati,55.33,95.16,46.0,Good
2019-07-20,Amaravati,52.91,46.0,47.0,Good
2019-07-21,Amaravati,45.53,51.93000000000001,45.0,Good
2019-07-22,Amaravati,46.720000000000006,63.43000000000001,39.0,Good
2019-07-23,Amaravati,39.09,76.61,35.0,Good
2019-07-26,Amaravati,33.720000000000006,50.67,35.0,Good
2019-07-27,Amaravati,37.7,55.30999999999999,65.0,Satisfactory
2019-07-28,Amaravati,35.11000000000001,57.49,36.0,Good
2019-07-29,Amaravati,41.85,67.42,68.0,Satisfactory
2019-07-30,Amaravati,38.52,57.85,28.0,Good
2019-07-31,Amaravati,37.31000000000001,51.190000000000005,29.0,Good
2019-08-01,Amaravati,34.71,42.84,34.0,Good
2019-08-02,Amaravati,31.76,28.04,68.0,Satisfactory
2019-08-03,Amaravati,32.61000000000001,41.2,24.0,Good
2019-08-05,Amaravati,53.64000000000001,52.82000000000001,31.0,Good
2019-08-06,Amaravati,35.2,42.73,32.0,Good
2019-08-07,Amaravati,34.03,47.86000000000001,66.0,Satisfactory
